listing_id,city,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,availability_rate,avg_min_nights,avg_max_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,estimated_occupancy_l365d,estimated_revenue_l365d,amenities_count
22701725,twin_cities,Hennepin,Entire home,entire home/apt,9,4,4,375,21,177,0.4849315068493151,21,730,8,5,5,5,f,f,168,63000,57
49178167,twin_cities,Hennepin,Entire condo,entire home/apt,2,0,1,112,30,124,0.33972602739726027,30,1125,9,5,5,5,t,f,120,13440,70
839964811373910046,twin_cities,St. Croix,Entire cabin,entire home/apt,2,0,1,77,2,216,0.5917808219178082,2,365,22,4.59,4.91,4.64,f,f,78,6006,10
1133216517922177831,twin_cities,Hennepin,Entire rental unit,entire home/apt,4,1,2,147,30,129,0.35342465753424657,77.83561643835617,365,4,5,5,4,t,t,120,17640,57
1511054193342643082,twin_cities,Mille Lacs,Entire cabin,entire home/apt,7,2,4,211,2,177,0.4849315068493151,2,14,0,null,null,null,f,f,0,0,49
15612131,twin_cities,Ramsey,Entire rental unit,entire home/apt,4,2,2,134,4,179,0.4904109589041096,4,1125,5,4.4,5,4,f,f,0,0,11
22648434,twin_cities,Hennepin,Entire home,entire home/apt,2,1,3,100,2,0,0,2,100,121,4.99,4.95,4.94,f,f,0,0,35
22742704,twin_cities,Hennepin,Entire rental unit,entire home/apt,2,1,1,74,2,130,0.3561643835616438,2.010958904109589,1125,429,4.82,4.87,4.81,t,f,255,18870,33
22865431,twin_cities,Hennepin,Private room in home,private room,5,3,3,76,2,199,0.5452054794520548,2.2849315068493152,1125,267,4.96,4.94,4.98,t,f,192,14592,49
681052134870602809,twin_cities,Hennepin,Entire home,entire home/apt,8,4,7,185,30,103,0.2821917808219178,30,1125,12,5,4.92,4.92,f,t,180,33300,38
1051039040733574038,twin_cities,Hennepin,Entire condo,entire home/apt,4,1,1,52,1,262,0.7178082191780822,1,365,1,1,5,1,f,f,0,0,16
1430077672080339314,twin_cities,Anoka,Private room in home,private room,1,1,1,68,3,88,0.2410958904109589,3,365,0,null,null,null,f,f,0,0,24
52223997,twin_cities,Hennepin,Entire rental unit,entire home/apt,3,1,2,56,2,113,0.3095890410958904,2,1125,97,4.7,4.67,4.62,f,t,6,336,38
741160556347125472,twin_cities,Wright,Entire rental unit,entire home/apt,4,2,2,168,2,195,0.5342465753424658,2,1125,25,5,4.96,4.96,t,t,36,6048,48
25969105,twin_cities,Hennepin,Entire townhouse,entire home/apt,6,3,3,116,28,66,0.18082191780821918,28,270,39,4.56,4.77,4.51,f,f,112,12992,40
712370100559572979,twin_cities,Washington,Entire vacation home,entire home/apt,3,1,2,306,2,336,0.9205479452054794,2,365,61,4.97,5,4.87,t,f,132,40392,56
1247038461966123298,twin_cities,Hennepin,Entire rental unit,entire home/apt,3,2,3,102,14,269,0.736986301369863,14,365,2,4.5,5,4.5,f,f,56,5712,44
1272767641979107945,twin_cities,Washington,Entire guest suite,entire home/apt,6,2,5,315,3,273,0.7479452054794521,3,365,13,5,5,5,null,f,78,24570,47
1421370289168923550,twin_cities,Hennepin,Entire home,entire home/apt,3,1,2,82,2,342,0.936986301369863,2,1125,8,4.88,4.88,4.88,f,f,48,3936,46
1437113610341122871,twin_cities,Ramsey,Private room in home,private room,1,1,4,35,30,265,0.726027397260274,30,365,0,null,null,null,f,f,0,0,47
6064690,twin_cities,Sherburne,Private room in home,private room,4,2,2,105,1,206,0.5643835616438356,1,30,42,4.93,4.95,4.95,f,f,0,0,19
52903385,twin_cities,Hennepin,Entire home,entire home/apt,8,4,4,186,2,238,0.6520547945205479,2,1125,105,4.92,4.81,4.83,t,f,144,26784,62
53092355,twin_cities,Dakota,Entire home,entire home/apt,8,5,5,245,2,237,0.6493150684931507,1.284931506849315,1125,270,4.96,4.95,4.86,t,f,255,62475,74
988270336696414238,twin_cities,Anoka,Entire home,entire home/apt,8,5,6,196,2,108,0.2958904109589041,2.978082191780822,1125,10,4.7,4.8,4.6,f,t,0,0,50
82439,twin_cities,Hennepin,Private room in home,private room,3,2,2,59,2,327,0.8958904109589041,2,60,77,4.95,4.94,4.92,t,f,54,3186,8
21005127,twin_cities,Hennepin,Entire rental unit,entire home/apt,6,2,2,96,1,242,0.663013698630137,1,1125,397,4.77,4.77,4.77,t,f,222,21312,41
21473196,twin_cities,Hennepin,Entire guest suite,entire home/apt,2,1,1,84,1,28,0.07671232876712329,1,1125,94,4.87,4.97,4.96,f,f,0,0,27
22828040,twin_cities,Ramsey,Entire home,entire home/apt,6,2,4,72,2,75,0.2054794520547945,2,31,368,4.83,4.89,4.87,t,f,255,18360,48
29368917,twin_cities,Ramsey,Entire condo,entire home/apt,5,2,2,84,25,155,0.4246575342465753,25.854794520547944,90,162,4.9,4.96,4.82,t,f,255,21420,49
40800170,twin_cities,Hennepin,Entire home,entire home/apt,10,4,6,185,2,302,0.8273972602739726,3.43013698630137,1125,135,4.98,4.96,4.91,t,t,78,14430,66
45541107,twin_cities,Hennepin,Entire home,entire home/apt,5,2,2,172,2,11,0.030136986301369864,2,1125,125,4.89,4.94,4.76,t,t,90,15480,49
629601271707303342,twin_cities,Hennepin,Entire home,entire home/apt,10,5,6,214,2,344,0.9424657534246575,3.1561643835616437,1125,37,4.78,4.86,4.62,f,t,84,17976,38
681519305828567013,twin_cities,Ramsey,Entire home,entire home/apt,10,4,5,392,2,39,0.10684931506849316,2.032876712328767,1125,31,4.81,4.81,4.68,t,f,126,49392,84
819195587406940751,twin_cities,Hennepin,Entire condo,entire home/apt,4,1,1,127,2,72,0.19726027397260273,2,30,46,4.85,4.83,4.7,t,f,84,10668,47
930342490020655000,twin_cities,Ramsey,Entire home,entire home/apt,4,2,2,131,2,304,0.8328767123287671,2.073972602739726,30,48,4.98,4.98,4.92,t,f,186,24366,55
1475340162544315151,twin_cities,Hennepin,Entire home,entire home/apt,4,1,1,99,1,70,0.1917808219178082,1,21,4,5,4.75,5,f,f,24,2376,45
1480248901033213918,twin_cities,Hennepin,Private room in home,private room,8,2,3,190,2,30,0.0821917808219178,2,1125,1,5,5,5,f,t,6,1140,16
15645175,twin_cities,Hennepin,Entire rental unit,entire home/apt,4,2,2,105,2,209,0.5726027397260274,2,1125,219,4.79,4.92,4.75,t,f,48,5040,60
21250914,twin_cities,Pierce,Entire home,entire home/apt,5,3,4,177,2,4,0.010958904109589041,2,1125,154,4.99,4.94,4.95,f,f,18,3186,57
48712996,twin_cities,Scott,Camper/RV,entire home/apt,3,0,4,111,1,177,0.4849315068493151,1.284931506849315,14,2,5,5,5,f,f,0,0,17
51969660,twin_cities,Ramsey,Entire home,entire home/apt,16,4,10,225,3,334,0.915068493150685,2.3835616438356166,1125,199,4.97,4.84,4.91,t,f,255,57375,57
52883230,twin_cities,Ramsey,Entire home,entire home/apt,5,2,2,114,3,202,0.5534246575342465,3,1125,19,4.74,4.63,4.68,t,t,6,684,47
