listing_id,city,neighborhood,room_type,price,median_neighborhood_price,price_gap_pct,occupancy_rate,occupancy_rank_percentile,amenity_score,review_rank_percentile,competitive_score,peak_month,peak_occupancy_rate
24094071,nashville,District 5,entire home/apt,371,160,131.88,0.5111,67.42,67.05,96.93,54.48,12,0.3243
43450336,nashville,District 21,entire home/apt,165,160,3.13,0.4,55.18,52.81,83.59,59.2,8,0.3211
1354449765000955171,nashville,District 7,entire home/apt,114,129,-11.63,0.4333,54.03,53.66,30.94,50.44,8,0.3738
850179137902544665,nashville,District 19,entire home/apt,148,173,-14.45,0.4222,58.4,56.25,79.38,64.92,8,0.3282
28930638,nashville,District 2,entire home/apt,198,198,0,0.0778,15.25,72.29,78.95,55.86,8,0.2505
1202358268234958357,nashville,District 17,entire home/apt,306,172,77.91,0.0111,1.89,54.64,24.94,20.27,12,0.3042
1171999431564067727,nashville,District 15,entire home/apt,124,138,-10.14,0.1778,22.25,50.62,69.48,52.52,8,0.5031
1339248186143016019,nashville,District 21,entire home/apt,145,160,-9.38,0.6778,77.2,76.4,4.93,53.59,8,0.3211
1078422875120073352,nashville,District 17,entire home/apt,129,172,-25,0.6222,75.06,48.45,23.22,55.43,12,0.3042
1368849009700886691,nashville,District 19,entire home/apt,221,173,27.75,0.3667,52.83,63.54,32.28,41.2,8,0.3282
1008688651557147708,nashville,District 5,entire home/apt,313,160,95.63,0.2333,38.09,59.09,55.06,36.16,12,0.3243
674736390816097045,nashville,District 19,entire home/apt,164,173,-5.2,0.1333,21.91,76.04,85.33,61.29,8,0.3282
1318897929946077472,nashville,District 2,entire home/apt,425,198,114.65,0,0,87.95,48.52,34.12,8,0.2505
1052124489841818202,nashville,District 5,entire home/apt,228,160,42.5,0.5111,67.42,67.05,61.59,47.89,12,0.3243
650133796102980973,nashville,District 17,entire home/apt,296,172,72.09,0.1333,23.63,42.27,17.7,19.72,12,0.3042
16023993,nashville,District 13,private room,68,49,38.78,0.7444,79.7,78.69,97.9,63.45,8,0.3706
51321919,nashville,District 6,private room,105,85,23.53,0.2889,41.84,48.39,58.5,43.03,12,0.3585
36523604,nashville,District 19,entire home/apt,135,173,-21.97,0.7889,86.31,64.58,98.13,79.53,8,0.3282
1199515572148369613,nashville,District 19,entire home/apt,123,173,-28.9,0.2,32.04,64.58,37.63,55.63,8,0.3282
32284142,nashville,District 17,entire home/apt,76,172,-55.81,0,0,22.68,21.4,41.02,12,0.3042
1232531425812136979,nashville,District 15,private room,100,103,-2.91,0.2778,34.11,32.26,65.43,47.12,8,0.5031
1190480706538312158,nashville,District 2,entire home/apt,360,198,81.82,0.2556,44.38,50.6,48.52,33.66,8,0.2505
694212528485944088,nashville,District 19,entire home/apt,185,173,6.94,0.2111,33.64,43.75,71.61,48.49,8,0.3282
756022165345239374,nashville,District 15,entire home/apt,143,138,3.62,0.0444,5.48,38.27,21.3,29.9,8,0.5031
29480719,nashville,District 19,entire home/apt,117,173,-32.37,0.3,45.35,55.21,75.28,66.4,8,0.3282
1092775753097080651,nashville,District 17,entire home/apt,197,172,14.53,0.5222,67.83,49.48,33.06,44.84,12,0.3042
1125602217328392808,nashville,District 21,entire home/apt,194,160,21.25,0.3111,46.45,44.94,49.36,41.49,8,0.3211
